X,Y,bAddress,Address,Title
-123.119929,49.283235,Vancouver Art Gallery,Vancouver Art Gallery,B.C. Centennial Fountain
-123.120103,49.283046,Vancouver Art Gallery,Vancouver Art Gallery,Untitled (Pair of Lions)
-123.12062,49.283241,Vancouver Art Gallery,Vancouver Art Gallery,King Edward VII Fountain
-123.147597,49.277073,Hadden Park,Hadden Park,Centennial Pole (totem)
-123.133965,49.293313,Devonian Harbour Park,Devonian Harbour Park,Solo
-123.094871,49.286208,Flying Angel Seamen's Club,Flying Angel Seamen's Club,Hastings Mill Commemorative
-123.096898,49.234639,Mountain View Cemetary,Mountain View Cemetary,Cross of Sacrifice
-123.114961,49.279206,CBC Building,CBC Building,Untitled
-123.113307,49.280087,Queen Elizabeth Theatre Plaza,Queen Elizabeth Theatre Plaza,Queen Elizabeth Plaza Centennial Fountain
-123.113485,49.287927,Trade and Convention Centre,Trade and Convention Centre,Untitled (wall hanging)
-123.109588,49.288861,Canada Place,Canada Place,Salute to the Lions of Vancouver
-123.031862,49.263387,Thunderbird Community Centre,Thunderbird Community Centre,Thunderbird Mural
-123.141787,49.287577,English Bay,English Bay,George Cunningham Memorial Sundial
-123.104296,49.283351,Gastown,Gastown,Captain John Deighton (Gassy Jack)
-123.069796,49.27352,Grandview Park,Grandview Park,Untitled (Cenotaph)
-123.136502,49.27788,Sunset Beach,Sunset Beach,AIDS Memorial
-123.123173,49.290948,Harbour Green Park seawall,Harbour Green Park seawall,LightShed
-123.136859,49.294127,Dr. Stanley Ho Building,Dr. Stanley Ho Building,Untitled (Dr. Stanley Ho Building)
-123.142699,49.286661,,,Seal's Ball
-123.113251,49.288027,Trade and Convention Centre,Trade and Convention Centre,Untitled
-123.113456,49.288032,Trade and Convention Centre,Trade and Convention Centre,Reflections of Vancouver
-123.122352,49.252608,Douglas Park,Douglas Park,Douglas Park Bench Project
-123.12491,49.271847,David Lam Park,David Lam Park,Marking High Tide and Waiting for Low Tide Pavillions
-123.043728,49.251186,,,Renfrew Ravine Sanctuary
-123.123477,49.28967,Harbour Green,Harbour Green,Semaphores
-123.046635,49.244207,Slocan Park,Slocan Park,Constellation Lanterns
-123.069932,49.260535,,,Mosaic Planet
-123.070049,49.25661,Commercial Drive,Commercial Drive,Community Walls/Community Voices
-123.115856,49.2726,False Creek foreshore,False Creek foreshore,Time Top
-123.032018,49.214854,Champlain Heights Community Centre,Champlain Heights Community Centre,Country Living in the City
-123.065282,49.255626,Trout Lake Community Centre,Trout Lake Community Centre,Trout Lake Community Centre Mural
-123.10006,49.281071,Downtown Eastside,Downtown Eastside,Footprints
-123.129083,49.290167,Bayview,Bayview,Curtained Skies
-123.131793,49.291813,Bayshore tower 'C',Bayshore tower 'C',Leaf Stream
-123.027485,49.220697,Champlain Heights Elementary School,Champlain Heights Elementary School,New Sights in the Heights
-123.105193,49.280719,Keefer,Keefer,Chinatown Millennium Gate
-123.122657,49.272579,David Lam Park,David Lam Park,Watch Your Step
-123.095131,49.28427,Jim Green Residence,Jim Green Residence,Entranceway
-123.088931251443,49.2737052617811,"National Street Works Yard COV",National Street Works Yard COV,Project for a Public Works Yard
-123.152664129864,49.244357541763,"Marguerite House Quilchena Park",Marguerite House Quilchena Park,Three Watchmen
-123.091546214568,49.2797797907632,"Strathcona Community Centre",Strathcona Community Centre,2000 Views of Strathcona
-123.088931251443,49.2737052617811,National Works Yard,National Works Yard,Tribute to the Cambie Works Yard
-123.112870382402,49.280221662012,Queen Elizabeth Theatre,Queen Elizabeth Theatre,Untitled
-123.112870382402,49.280221662012,Queen Elizabeth Playhouse,Queen Elizabeth Playhouse,Untitled
-123.101892998304,49.2839293847425,Metro Vancouver Pump Station,Metro Vancouver Pump Station,To Connect (Metro Vancouver Pump Station)
